"Group","SportType","m_ACC_non_collaborative","se_ACC_non_collaborative","m_ACC_collaborative","se_ACC_collaborative"
0,"Individual",0.975,0.00637909251923408,0.968333333333333,0.00715484459300584
1,"Individual",0.973333333333333,0.00658266499146881,0.971666666666667,0.00677944398116459
2,"Individual",0.893333333333333,0.0126126899613676,0.93,0.0104250244712123
4,"Individual",0.933333333333333,0.010191998418202,0.981666666666667,0.00548137264869791
5,"Individual",0.933333333333333,0.010191998418202,0.923333333333333,0.0108709910108237
6,"Individual",0.92,0.0110847396189852,0.871666666666667,0.0136656893932384
7,"Individual",0.935,0.0100727735975042,0.855,0.0143864502194436
8,"Individual",0.946666666666667,0.00918088390062795,0.988333333333333,0.00438744520021627
9,"Individual",0.97,0.00697000489816668,0.968333333333333,0.00715484459300584
10,"Individual",0.946666666666667,0.00918088390062795,0.96,0.00800667501159098
11,"Team",0.906666666666667,0.011885810497775,0.906666666666667,0.011885810497775
12,"Team",0.958333333333333,0.00816468182528297,0.963333333333333,0.0108689706266209
13,"Team",0.878333333333333,0.0133567893291559,0.96,0.00800667501159098
14,"Team",0.886666666666667,0.012952261705469,0.896666666666667,0.0124371914894871
15,"Team",0.965,0.00750903740421477,0.975,0.00637909251923408
16,"Team",0.946666666666667,0.00918088390062795,0.941666666666667,0.00957620830679613
17,"Team",0.943333333333333,0.0133709058129725,0.975,0.00637909251923408
18,"Team",0.96,0.0113326119515973,0.943333333333333,0.00944676283916833
19,"Team",0.963333333333333,0.00767910486034216,0.976666666666667,0.00616805395816754
20,"Team",0.948333333333333,0.00904424500164534,0.88,0.0132775684158809
21,"Team",0.866666666666667,0.0138893526170034,0.901666666666667,0.0121663407766937
22,"Team",0.973333333333333,0.00658266499146881,0.975,0.00637909251923408
23,"Team",0.916666666666667,0.0112928012652091,0.98,0.00572024492511806
24,"Team",0.95,0.00890498912888964,0.953333333333333,0.00861811665655504
25,"Team",0.958333333333333,0.00816468182528297,0.996666666666667,0.00235505431751253
41,"Individual",0.916666666666667,0.0112928012652091,0.895,0.0125254332245411
42,"Individual",0.923333333333333,0.0153867519883872,0.953333333333333,0.00861811665655504
43,"Individual",0.943333333333333,0.00944676283916833,0.961666666666667,0.00784489550327113
44,"Individual",0.935,0.0100727735975042,0.94,0.00970344929464206
45,"Individual",0.955,0.00847021689748758,0.908333333333333,0.0117900306552995
