"Group","SportType","meanRT_non_verbal","meanRT_verbal"
0,"Individual",1966.84273504274,1800.69535283993
1,"Individual",1888.8647260274,1935.69639794168
2,"Individual",1765.1697761194,1276.0017921147
4,"Individual",2620.51428571429,2279.39049235993
5,"Individual",1725.03928571429,2142.56859205776
6,"Individual",1962.02536231884,1157.51625239006
7,"Individual",2156.29946524064,2007.53021442495
8,"Individual",3792.16901408451,2290.35413153457
9,"Individual",1753.77319587629,1972.72117039587
10,"Individual",2939.03345070423,1867.39409722222
11,"Team",2026.60845588235,1555.74816176471
12,"Team",1686.71652173913,1683.06228373702
13,"Team",1900.23908918406,1687.4375
14,"Team",1355.56766917293,1452.0594795539
15,"Team",3271.88255613126,2341.19658119658
16,"Team",2210.15492957746,2035.04247787611
17,"Team",2332.42756183746,1659.88376068376
18,"Team",1881.30208333333,2229.01236749117
19,"Team",2489.07093425606,1607.11945392491
20,"Team",2393.27943760984,2300.99810606061
21,"Team",1864.40576923077,1269.8595194085
22,"Team",1724.64897260274,1805.38803418803
23,"Team",1842.39454545455,1410.26700680272
24,"Team",1397.75263157895,1467.10314685315
25,"Team",1936.11652173913,1548.32608695652
41,"Individual",1489.58181818182,1520.91247672253
42,"Individual",2962.31768953069,1908.4493006993
43,"Individual",2181.73851590106,1927.35355285962
44,"Individual",2133.38680926916,1445.55141843972
45,"Individual",1766.1815008726,1681.38348623853
