"Subject","statistic","p.value","alternative","statistic.1","p.value.1","alternative.1","statistic.2","p.value.2","alternative.2"
"1",0.25,0,"the SIC is above 0 at some time",0.02,0.942,"the SIC is below 0 at some time",92.46,0,"the MIC is not zero"
"2",0.07,0.801,"the SIC is above 0 at some time",0.1,0.587,"the SIC is below 0 at some time",2.7,0.821,"the MIC is not zero"
"3",0.09,0.69,"the SIC is above 0 at some time",0.07,0.775,"the SIC is below 0 at some time",-3.71,0.954,"the MIC is not zero"
"4",0.12,0.503,"the SIC is above 0 at some time",0.16,0.287,"the SIC is below 0 at some time",-9.26,0.867,"the MIC is not zero"
"5",0.29,0.014,"the SIC is above 0 at some time",0.04,0.907,"the SIC is below 0 at some time",63.31,0.023,"the MIC is not zero"
"6",0.02,0.989,"the SIC is above 0 at some time",0.25,0.053,"the SIC is below 0 at some time",-49.67,0.074,"the MIC is not zero"
"7",0.15,0.324,"the SIC is above 0 at some time",0.2,0.155,"the SIC is below 0 at some time",31.25,0.875,"the MIC is not zero"
"8",0.18,0.219,"the SIC is above 0 at some time",0.05,0.884,"the SIC is below 0 at some time",23.86,0.156,"the MIC is not zero"
"9",0.02,0.977,"the SIC is above 0 at some time",0.16,0.286,"the SIC is below 0 at some time",-74.97,0.163,"the MIC is not zero"
"10",0.1,0.638,"the SIC is above 0 at some time",0.08,0.763,"the SIC is below 0 at some time",-31.44,0.989,"the MIC is not zero"
"11",0.08,0.737,"the SIC is above 0 at some time",0.11,0.53,"the SIC is below 0 at some time",7.29,0.983,"the MIC is not zero"
"12",0.1,0.64,"the SIC is above 0 at some time",0.16,0.301,"the SIC is below 0 at some time",13.19,0.828,"the MIC is not zero"
"13",0.14,0.374,"the SIC is above 0 at some time",0.12,0.514,"the SIC is below 0 at some time",-5.41,0.758,"the MIC is not zero"
"14",0.21,0.115,"the SIC is above 0 at some time",0.07,0.793,"the SIC is below 0 at some time",33.85,0.206,"the MIC is not zero"
"15",0.05,0.886,"the SIC is above 0 at some time",0.28,0.023,"the SIC is below 0 at some time",-80.02,0.201,"the MIC is not zero"
"16",0.16,0.287,"the SIC is above 0 at some time",0.1,0.632,"the SIC is below 0 at some time",9.38,0.729,"the MIC is not zero"
"17",0.04,0.938,"the SIC is above 0 at some time",0.14,0.391,"the SIC is below 0 at some time",-22.33,0.628,"the MIC is not zero"
"18",0.14,0.368,"the SIC is above 0 at some time",0.04,0.922,"the SIC is below 0 at some time",65.98,0.341,"the MIC is not zero"
"21",0.14,0.398,"the SIC is above 0 at some time",0.09,0.676,"the SIC is below 0 at some time",33.58,0.676,"the MIC is not zero"
"22",0.21,0.11,"the SIC is above 0 at some time",0.03,0.956,"the SIC is below 0 at some time",33.8,0.363,"the MIC is not zero"
"23",0.23,0.069,"the SIC is above 0 at some time",0.05,0.884,"the SIC is below 0 at some time",37.39,0.13,"the MIC is not zero"
"24",0.09,0.672,"the SIC is above 0 at some time",0.08,0.703,"the SIC is below 0 at some time",14.57,0.339,"the MIC is not zero"
"25",0.14,0.407,"the SIC is above 0 at some time",0.16,0.284,"the SIC is below 0 at some time",-0.15,0.495,"the MIC is not zero"
"26",0.23,0.07,"the SIC is above 0 at some time",0.11,0.538,"the SIC is below 0 at some time",79.56,0.268,"the MIC is not zero"
"27",0.13,0.442,"the SIC is above 0 at some time",0.05,0.883,"the SIC is below 0 at some time",0.64,0.841,"the MIC is not zero"
"28",0.04,0.92,"the SIC is above 0 at some time",0.15,0.356,"the SIC is below 0 at some time",-37.01,0.26,"the MIC is not zero"
"29",0.09,0.676,"the SIC is above 0 at some time",0.09,0.663,"the SIC is below 0 at some time",-8.2,0.765,"the MIC is not zero"
"30",0.04,0.92,"the SIC is above 0 at some time",0.23,0.071,"the SIC is below 0 at some time",-62.33,0.095,"the MIC is not zero"
"31",0.22,0.1,"the SIC is above 0 at some time",0.07,0.773,"the SIC is below 0 at some time",30.1,0.17,"the MIC is not zero"
"32",0.04,0.939,"the SIC is above 0 at some time",0.16,0.293,"the SIC is below 0 at some time",-37.86,0.388,"the MIC is not zero"
