"Subject","ConditionLR","RT_m","RT_sd","RT_med","RT_cov"
1,"HH_R",798.16,187.23,750,0.23
1,"HH_L",732.51,167.27,701,0.23
1,"HL_R",701.27,173.42,650,0.25
1,"HL_L",680.77,159.24,633,0.23
1,"LH_R",774.26,215.74,717,0.28
1,"LH_L",733.89,192.26,667,0.26
1,"LL_R",769.22,214.3,717,0.28
1,"LL_L",753.41,217.64,700,0.29
1,"XX",1196.61,248.14,1150,0.21
2,"HH_R",872.02,301.15,801,0.35
2,"HH_L",754.91,147.17,734,0.19
2,"HL_R",907.14,243.91,885,0.27
2,"HL_L",948.57,370.34,851,0.39
2,"LH_R",854.31,274.76,783,0.32
2,"LH_L",866.91,246.3,801,0.28
2,"LL_R",934.85,277.15,884,0.3
2,"LL_L",978.11,298.98,950,0.31
2,"XX",1889.72,435.64,1801,0.23
3,"HH_R",692.48,130.46,675,0.19
3,"HH_L",785.48,197.89,758,0.25
3,"HL_R",756.83,192.93,708,0.25
3,"HL_L",863.48,270.47,775,0.31
3,"LH_R",701.16,145.07,667,0.21
3,"LH_L",857.63,248.21,834,0.29
3,"LL_R",759.81,169.74,725,0.22
3,"LL_L",947.13,322.87,842,0.34
3,"XX",1381.97,225.08,1367,0.16
4,"HH_R",607.21,125.67,567,0.21
4,"HH_L",658.22,154.12,634,0.23
4,"HL_R",604.87,102.46,617,0.17
4,"HL_L",737.11,229.56,651,0.31
4,"LH_R",618.11,170.06,551,0.28
4,"LH_L",696.87,182.83,659,0.26
4,"LL_R",691.51,219.15,617,0.32
4,"LL_L",691.98,216.65,618,0.31
4,"XX",878.46,151.49,834,0.17
5,"HH_R",614.7,120.57,601,0.2
5,"HH_L",618.8,108.89,600,0.18
5,"HL_R",604.58,154.67,551,0.26
5,"HL_L",590.65,107.12,559,0.18
5,"LH_R",628.93,153.19,584,0.24
5,"LH_L",634.72,106.44,617,0.17
5,"LL_R",652.05,183.4,617,0.28
5,"LL_L",698.61,193.46,651,0.28
5,"XX",1000.26,188.01,951,0.19
6,"HH_R",533.31,104.6,518,0.2
6,"HH_L",477.12,112.65,476,0.24
6,"HL_R",535.94,129.29,500,0.24
6,"HL_L",532.22,113.3,516,0.21
6,"LH_R",550.32,131.82,501,0.24
6,"LH_L",525.66,120.52,501,0.23
6,"LL_R",516.64,119.77,485,0.23
6,"LL_L",527.79,171.07,484,0.32
6,"XX",777.79,152.1,750,0.2
7,"HH_R",860.38,282.55,817,0.33
7,"HH_L",948.99,347.58,843,0.37
7,"HL_R",893.65,279.99,834,0.31
7,"HL_L",964.87,273.19,893,0.28
7,"LH_R",871.8,252.53,801,0.29
7,"LH_L",1002.06,360.01,968,0.36
7,"LL_R",897.35,278.06,817,0.31
7,"LL_L",1047.86,343.93,985,0.33
7,"XX",1726.7,300.37,1633,0.17
8,"HH_R",683.13,124.8,651,0.18
8,"HH_L",652.98,92.9,650,0.14
8,"HL_R",669.67,102.66,651,0.15
8,"HL_L",736.8,189.26,684,0.26
8,"LH_R",743.86,175.18,734,0.24
8,"LH_L",748.18,200.21,701,0.27
8,"LL_R",751.56,163.9,718,0.22
8,"LL_L",847.33,199.68,817,0.24
8,"XX",1125.61,187.51,1101,0.17
9,"HH_R",830.11,255.58,768,0.31
9,"HH_L",872.73,220.35,801,0.25
9,"HL_R",904.25,238.53,884,0.26
9,"HL_L",941.91,274.88,848,0.29
9,"LH_R",1023.47,392.08,950,0.38
9,"LH_L",939.19,230.59,918,0.25
9,"LL_R",880.26,230.39,850,0.26
9,"LL_L",1034.55,335.57,951,0.32
9,"XX",1564.6,353.62,1484,0.23
10,"HH_R",645.96,205.01,583,0.32
10,"HH_L",624.74,138.82,601,0.22
