"Subject","ConditionLR","ACC_m","RT_m","RT_sd","RT_med"
1,"HH_R",0.98,798.89,185.4,750
1,"HH_L",1,750.86,209.83,725
1,"HL_R",0.96,730.54,209.52,683
1,"HL_L",0.98,728.21,304,634
1,"LH_R",1,774.26,215.74,717
1,"LH_L",1,747.22,212.11,675
1,"LL_R",1,784.18,236.7,733
1,"LL_L",0.96,782.89,249.85,717
1,"XX",0.98,1199.38,274.25,1150
2,"HH_R",1,894.27,337.01,801
2,"HH_L",1,770.17,181.28,742
2,"HL_R",0.98,952.24,328.3,893
2,"HL_L",1,948.57,370.34,851
2,"LH_R",1,894.89,395.33,792
2,"LH_L",0.94,916.68,310.92,835
2,"LL_R",0.96,949.18,280.67,901
2,"LL_L",0.98,998.23,328.35,958
2,"XX",0.96,1847.98,503.28,1776
3,"HH_R",1,692.48,130.46,675
3,"HH_L",1,785.48,197.89,758
3,"HL_R",1,756.83,192.93,708
3,"HL_L",1,863.48,270.47,775
3,"LH_R",1,715.81,177.04,667
3,"LH_L",0.98,879.48,290.22,842
3,"LL_R",1,759.81,169.74,725
3,"LL_L",1,947.13,322.87,842
3,"XX",0.99,1381.83,245.48,1367
4,"HH_R",1,620.06,154.03,567
4,"HH_L",0.98,669.59,173.94,634
4,"HL_R",1,623.72,137.01,618
4,"HL_L",1,752.73,252.61,659
4,"LH_R",0.98,630.11,188.47,551
4,"LH_L",1,696.87,182.83,659
4,"LL_R",0.98,692.36,216.98,617
4,"LL_L",0.98,699.16,220.35,625
4,"XX",0.86,861.74,225.38,818
5,"HH_R",1,614.7,120.57,601
5,"HH_L",0.96,629.34,132.78,600
5,"HL_R",1,617.52,178.34,559
5,"HL_L",1,622.05,190.76,575
5,"LH_R",1,628.93,153.19,584
5,"LH_L",1,634.72,106.44,617
5,"LL_R",1,669.03,217.63,617
5,"LL_L",0.98,723.01,230.7,659
5,"XX",0.99,998.77,187.65,951
6,"HH_R",0.94,547.05,117.76,527
6,"HH_L",0.96,490.77,138.92,484
6,"HL_R",0.94,555.47,157.87,509
6,"HL_L",0.96,553,141.45,517
6,"LH_R",0.96,575.69,186.15,509
6,"LH_L",0.9,537.46,122.43,517
6,"LL_R",0.94,533.71,137.29,509
6,"LL_L",0.88,578.03,216.58,518
6,"XX",0.7,704.28,245.24,692
7,"HH_R",1,881.54,317.15,817
7,"HH_L",0.96,984.73,384.07,859
7,"HL_R",0.98,925.28,338.22,851
7,"HL_L",0.98,1017.32,372.81,934
7,"LH_R",1,917.31,334.73,826
7,"LH_L",0.98,1023.39,386.94,984
7,"LL_R",1,897.35,278.06,817
7,"LL_L",0.98,1052.97,412.91,985
7,"XX",0.99,1716.61,315.44,1633
8,"HH_R",1,683.13,124.8,651
8,"HH_L",1,670.55,126.14,651
8,"HL_R",0.96,695.89,157.96,675
8,"HL_L",1,736.8,189.26,684
8,"LH_R",1,743.86,175.18,734
8,"LH_L",1,748.18,200.21,701
8,"LL_R",1,764.55,186.42,718
8,"LL_L",0.96,853.15,203.6,817
8,"XX",0.99,1121.03,192.1,1101
9,"HH_R",1,849.51,287.74,768
9,"HH_L",1,872.73,220.35,801
9,"HL_R",1,904.25,238.53,884
9,"HL_L",0.96,1019.13,420.26,901
9,"LH_R",1,1023.47,392.08,950
9,"LH_L",0.96,994.57,318.87,951
9,"LL_R",0.96,925.19,297.21,883
9,"LL_L",0.94,1081.19,382.86,992
9,"XX",1,1576.3,370.76,1484
10,"HH_R",0.92,695.78,267.28,584
10,"HH_L",0.98,653.66,202.36,609
10,"HL_R",0.94,678.38,273.45,617
10,"HL_L",0.94,736.1,330.83,659
10,"LH_R",0.94,698.42,273.37,634
10,"LH_L",0.98,693.56,256.21,601
10,"LL_R",0.94,677.68,193.54,634
10,"LL_L",0.96,683.12,142.1,659
10,"XX",0.87,919.73,292.81,884
11,"HH_R",1,913.42,334.68,843
11,"HH_L",1,834.46,279.88,709
11,"HL_R",1,1073.58,379.66,1035
11,"HL_L",1,958.97,265.69,942
11,"LH_R",1,990.39,363.77,851
11,"LH_L",1,868.47,290.92,784
11,"LL_R",0.94,1108.56,406.86,1034
11,"LL_L",1,1097.46,357.35,1109
11,"XX",0.96,1599.26,419.88,1592
12,"HH_R",0.98,733.14,177.4,693
12,"HH_L",1,741.03,177.49,684
12,"HL_R",1,723.97,136.06,693
12,"HL_L",1,782.33,196.94,742
12,"LH_R",1,742.2,186.02,710
12,"LH_L",0.98,786.51,160.84,776
12,"LL_R",0.98,770.77,161.64,709
12,"LL_L",0.96,821.49,251.16,726
12,"XX",0.98,1126.41,248.16,1092
13,"HH_R",1,716.5,165.02,676
13,"HH_L",0.94,760.73,202.37,684
13,"HL_R",1,720.8,259.63,634
13,"HL_L",0.98,729.76,152.5,718
13,"LH_R",0.96,737.8,290.08,651
13,"LH_L",0.98,764.06,204.7,709
13,"LL_R",1,740.47,196.27,668
13,"LL_L",1,760.12,249.09,708
13,"XX",0.97,1195.53,259.76,1184
14,"HH_R",1,631.87,151.17,576
14,"HH_L",1,616.56,147.87,559
14,"HL_R",1,592.19,113.05,568
14,"HL_L",0.98,633.93,199.45,568
14,"LH_R",1,620.67,163.1,584
14,"LH_L",1,670.54,198.64,584
14,"LL_R",1,646.21,162.7,585
14,"LL_L",1,679.52,221.42,617
14,"XX",0.97,1214.15,281.21,1183
15,"HH_R",1,651.16,182.12,608
15,"HH_L",0.94,760.84,345.45,650
15,"HL_R",0.98,740.84,319.21,617
15,"HL_L",0.98,799.17,261.3,709
15,"LH_R",0.96,711.85,240.18,625
15,"LH_L",0.94,799.17,282.33,700
15,"LL_R",1,687.15,239.87,617
15,"LL_L",0.82,935.5,375.65,867
15,"XX",0.92,1040.18,317.69,1025
16,"HH_R",1,743.81,179.73,700
16,"HH_L",1,736.48,144.63,683
16,"HL_R",0.98,757.79,173.89,717
16,"HL_L",1,779.47,184.21,742
16,"LH_R",1,791.14,168.31,742
16,"LH_L",0.98,772.13,191.59,717
16,"LL_R",0.98,845.82,207.75,792
16,"LL_L",1,792.81,197.01,750
16,"XX",1,924.65,174.25,900
17,"HH_R",0.98,549.13,167.03,492
17,"HH_L",0.92,681.49,186.17,625
17,"HL_R",0.96,629.14,181.38,567
17,"HL_L",0.9,768.81,277.57,692
17,"LH_R",0.98,596.15,187.8,550
17,"LH_L",0.92,727.81,278.08,617
17,"LL_R",0.96,635.48,194.24,583
17,"LL_L",0.86,836.48,335.3,717
17,"XX",0.81,890.47,301.32,867
18,"HH_R",1,636.79,173.74,585
18,"HH_L",0.96,661.04,198.36,593
18,"HL_R",0.96,579.19,91.36,551
18,"HL_L",1,631.15,121.6,584
18,"LH_R",0.96,683.41,160.36,634
18,"LH_L",1,670.39,155,643
18,"LL_R",0.98,691.14,224.8,609
18,"LL_L",0.98,705.44,160.85,651
18,"XX",0.98,898.12,195.67,843
21,"HH_R",1,812.49,183.47,784
21,"HH_L",1,793.59,205.62,741
21,"HL_R",1,817.04,187.45,750
21,"HL_L",0.98,820.97,163.95,784
21,"LH_R",0.98,801.15,207.13,742
21,"LH_L",1,740.9,115.21,710
21,"LL_R",1,859.22,231.44,801
21,"LL_L",0.98,779.27,163.52,743
21,"XX",1,1264.58,255.73,1268
22,"HH_R",1,606.89,115.19,584
22,"HH_L",1,622.58,116.47,601
22,"HL_R",1,599.22,94.82,584
22,"HL_L",1,621.51,126.45,601
22,"LH_R",1,598.92,126.08,560
22,"LH_L",1,672.11,126.91,635
22,"LL_R",1,645.59,129.39,618
22,"LL_L",1,684.29,181.24,618
22,"XX",0.98,1044.47,197.76,1001
23,"HH_R",0.98,854.14,278.56,783
23,"HH_L",0.96,845.82,299.83,775
23,"HL_R",0.98,823.48,290.12,750
23,"HL_L",1,864.49,295.05,783
23,"LH_R",1,844.15,317.5,758
23,"LH_L",0.96,855.81,220.85,817
23,"LL_R",1,926.48,364.2,825
23,"LL_L",0.96,834.48,221.26,800
23,"XX",0.99,1376.34,338.32,1333
24,"HH_R",1,616.48,98.83,584
24,"HH_L",1,763.48,287.25,700
24,"HL_R",1,683.83,165.93,633
24,"HL_L",1,823.48,266.7,733
