"Subject","ACC_m_HH","ACC_m_HL","ACC_m_LH","ACC_m_LL","ACC_m_XX"
1,0.99,0.97,1,0.98,0.98
2,1,0.99,0.97,0.97,0.96
3,1,1,0.99,1,0.99
4,0.99,1,0.99,0.98,0.86
5,0.98,1,1,0.99,0.99
6,0.95,0.95,0.93,0.91,0.7
7,0.98,0.98,0.99,0.99,0.99
8,1,0.98,1,0.98,0.99
9,1,0.98,0.98,0.95,1
10,0.95,0.94,0.96,0.95,0.87
11,1,1,1,0.97,0.96
12,0.99,1,0.99,0.97,0.98
13,0.97,0.99,0.97,1,0.97
14,1,0.99,1,1,0.97
15,0.97,0.98,0.95,0.91,0.92
16,1,0.99,0.99,0.99,1
17,0.95,0.93,0.95,0.91,0.81
18,0.98,0.98,0.98,0.98,0.98
21,1,0.99,0.99,0.99,1
22,1,1,1,1,0.98
23,0.97,0.99,0.98,0.98,0.99
24,1,1,1,1,0.98
25,0.99,0.97,0.99,0.95,0.98
26,0.99,1,0.98,0.99,0.98
27,1,1,1,0.99,0.98
28,0.94,0.96,0.96,0.98,0.88
29,0.98,1,0.99,1,0.98
30,1,0.99,1,0.99,0.99
31,0.98,0.96,1,0.98,0.96
32,0.98,0.99,0.98,0.96,0.97
