"Subject","RT_m_HH","RT_m_HL","RT_m_LH","RT_m_LL","RT_m_XX","MIC"
1,765.34,698.82,760.74,761.48,1196.61,67.2600000000001
2,810.92,905.75,869.52,947.21,1889.72,-17.1399999999999
3,727.36,802.85,771.79,844.58,1381.97,-2.69999999999993
4,632.46,671.97,652.18,691.74,878.46,0.0500000000000682
5,616.69,597.69,627.75,667.54,1000.26,58.79
6,504.62,534.06,538.26,527.35,777.79,-40.3499999999999
7,904.23,929.26,925.14,971.07,1726.7,20.9000000000002
8,672.22,698.41,740.07,798.95,1125.61,32.6900000000001
9,843.31,922.5,980.4,966.81,1564.6,-92.7800000000001
10,627.45,668.84,655.29,662.74,944.36,-33.9399999999999
11,851.64,1005.47,915.07,1077.22,1628.71,8.32000000000005
12,735.26,740.79,749.48,769.22,1118.09,14.21
13,716.93,707.92,740.67,729.87,1209.62,-1.78999999999996
14,619.39,589.07,618.83,652.88,1221.6,64.3699999999999
15,672.39,758.41,714.33,750.34,1060,-50.01
16,728.72,760.17,769.55,808.82,919.35,7.82000000000005
17,590.64,668.8,641.46,682.73,941.6,-36.8900000000001
18,623.71,593.16,665.67,679.42,905.04,44.3000000000002
21,789.48,811.54,760.89,808.9,1246.99,25.9500000000002
22,610.5,600.53,630.15,648.88,1040.49,28.7000000000002
23,820.54,811.96,810.32,870.25,1375.76,68.5099999999999
24,673.04,734.34,708.22,804.03,1411.57,34.5099999999999
25,896.72,923.07,867.34,872.38,1574.23,-21.3100000000002
26,686.36,650.67,693.55,754.92,1249.99,97.0600000000001
27,648.08,628.77,757.58,763.69,1241.71,25.42
28,631.55,616.34,679.06,643.35,1015.47,-20.4999999999999
29,851.7,865.48,937.37,946.82,1319.57,-4.33000000000004
30,701.33,752.69,778.57,751.45,1291.29,-78.4799999999999
31,807.39,787.37,785.6,814.97,1044.44,49.3900000000001
32,657.29,690.97,716.65,713.12,893.9,-37.2100000000002
