"Subject","Condition","ACC_m","RT_m","RT_sd","RT_med"
1,"HH",0.99,774.87,199.12,750
1,"HL",0.97,729.38,260.64,650
1,"LH",1,760.74,214,700
1,"LL",0.98,783.53,242.96,717
1,"XX",0.98,1199.38,274.25,1150
2,"HH",1,832.22,276.35,751
2,"HL",0.99,950.41,348.18,876
2,"LH",0.97,905.79,354.01,818
2,"LL",0.97,973.7,304.89,934
2,"XX",0.96,1847.98,503.28,1776
3,"HH",1,738.98,173.18,700
3,"HL",1,810.15,239.8,750
3,"LH",0.99,797.64,252.91,733
3,"LL",1,853.47,273.35,775
3,"XX",0.99,1381.83,245.48,1367
4,"HH",0.99,644.83,165.34,601
4,"HL",1,688.22,212.31,618
4,"LH",0.99,663.49,187.75,617
4,"LL",0.98,695.76,217.59,618
4,"XX",0.86,861.74,225.38,818
5,"HH",0.98,622.02,126.39,601
5,"HL",1,619.78,183.73,567
5,"LH",1,631.83,131.27,601
5,"LL",0.99,696.02,224.77,625
5,"XX",0.99,998.77,187.65,951
6,"HH",0.95,518.91,131.21,501
6,"HL",0.95,554.23,149.13,517
6,"LH",0.93,556.57,157.92,516
6,"LL",0.91,555.87,181.77,516
6,"XX",0.7,704.28,245.24,692
7,"HH",0.98,933.14,354.23,834
7,"HL",0.98,971.3,357.14,868
7,"LH",0.99,970.35,363.87,901
7,"LL",0.99,975.16,358.84,893
7,"XX",0.99,1716.61,315.44,1633
8,"HH",1,676.84,125,651
8,"HL",0.98,716.35,174.65,684
8,"LH",1,746.02,187.17,718
8,"LL",0.98,808.85,199.25,783
8,"XX",0.99,1121.03,192.1,1101
9,"HH",1,861.12,255.24,800
9,"HL",0.98,961.69,344.83,901
9,"LH",0.98,1009.02,355.84,950
9,"LL",0.95,1003.19,349.88,926
9,"XX",1,1576.3,370.76,1484
10,"HH",0.95,674.72,236.8,600
10,"HL",0.94,707.24,303.35,634
10,"LH",0.96,695.99,263.59,618
10,"LL",0.95,680.4,168.94,650
10,"XX",0.87,919.73,292.81,884
11,"HH",1,873.94,309.49,792
11,"HL",1,1016.28,331.06,1009
11,"LH",1,929.43,333.38,801
11,"LL",0.97,1103.01,381.01,1043
11,"XX",0.96,1599.26,419.88,1592
12,"HH",0.99,737.09,176.59,684
12,"HL",1,753.15,170.93,717
12,"LH",0.99,764.36,174.44,726
12,"LL",0.97,796.13,211.67,718
12,"XX",0.98,1126.41,248.16,1092
13,"HH",0.97,738.62,185.05,684
13,"HL",0.99,725.28,211.88,684
13,"LH",0.97,750.93,250.12,683
13,"LL",1,750.3,223.32,684
13,"XX",0.97,1195.53,259.76,1184
14,"HH",1,624.22,148.97,567
14,"HL",0.99,613.06,162.65,568
14,"LH",1,645.6,182.55,584
14,"LL",1,662.86,194.03,601
14,"XX",0.97,1214.15,281.21,1183
15,"HH",0.97,706,280.21,634
15,"HL",0.98,770,291.69,684
15,"LH",0.95,755.51,264.44,667
15,"LL",0.91,811.32,337.49,750
15,"XX",0.92,1040.18,317.69,1025
16,"HH",1,740.14,162.34,684
16,"HL",0.99,768.63,178.55,725
16,"LH",0.99,781.64,179.66,733
16,"LL",0.99,819.31,203.18,767
16,"XX",1,924.65,174.25,900
17,"HH",0.95,615.31,188.11,550
17,"HL",0.93,698.97,243.6,625
17,"LH",0.95,661.98,245.17,567
17,"LL",0.91,735.98,290.73,625
17,"XX",0.81,890.47,301.32,867
18,"HH",0.98,648.91,185.91,585
18,"HL",0.98,605.17,110.14,568
18,"LH",0.98,676.9,157.04,634
18,"LL",0.98,698.29,194.6,651
18,"XX",0.98,898.12,195.67,843
21,"HH",1,803.04,194.11,760
21,"HL",0.99,819,175.21,760
21,"LH",0.99,771.03,169.47,718
21,"LL",0.99,819.25,203.37,760
21,"XX",1,1264.58,255.73,1268
22,"HH",1,614.74,115.51,585
22,"HL",1,610.36,111.76,584
22,"LH",1,635.51,131.12,618
22,"LL",1,664.94,157.87,618
22,"XX",0.98,1044.47,197.76,1001
23,"HH",0.97,849.98,287.96,783
23,"HL",0.99,843.99,291.84,767
23,"LH",0.98,849.98,272.15,783
23,"LL",0.98,880.48,303.35,800
23,"XX",0.99,1376.34,338.32,1333
24,"HH",1,689.98,226.12,633
24,"HL",1,753.65,231.86,683
24,"LH",1,716.48,185.09,667
24,"LL",1,811.66,238.98,742
24,"XX",0.98,1402.34,254.86,1367
25,"HH",0.99,908.99,330.01,817
25,"HL",0.97,949.49,370.45,833
25,"LH",0.99,898.49,325.37,833
25,"LL",0.95,916.83,335.39,783
25,"XX",0.98,1562.17,434.57,1600
26,"HH",0.99,699.47,218.79,633
26,"HL",1,670.32,197.12,617
26,"LH",0.98,719.98,205.03,675
26,"LL",0.99,768.83,250.71,683
26,"XX",0.98,1246.83,220.78,1250
27,"HH",1,655.11,151.25,618
27,"HL",1,642.53,154.59,608
27,"LH",1,775.62,255.74,684
27,"LL",0.99,765.06,227.25,675
27,"XX",0.98,1247.23,303.93,1234
28,"HH",0.94,661.1,187.71,626
28,"HL",0.96,655.77,193.71,609
28,"LH",0.96,697.01,229.08,651
28,"LL",0.98,650.23,201.14,584
28,"XX",0.88,966.54,320.56,892
29,"HH",0.98,868.33,228.74,809
29,"HL",1,899.85,297.91,842
29,"LH",0.99,945.16,248.86,900
29,"LL",1,954.18,230.63,917
29,"XX",0.98,1328,264.71,1284
30,"HH",1,717.47,215.97,667
30,"HL",0.99,775.14,311.5,700
30,"LH",1,791.28,273.16,733
30,"LL",0.99,791.92,369.63,684
30,"XX",0.99,1301.14,419.45,1192
31,"HH",0.98,808.24,196.05,775
31,"HL",0.96,823.11,273.87,717
31,"LH",1,793.92,211.12,750
31,"LL",0.98,839.22,254.56,750
31,"XX",0.96,1051.12,250.38,1017
32,"HH",0.98,667.31,156.06,633
32,"HL",0.99,702.82,198.08,667
32,"LH",0.98,719.32,173.85,683
32,"LL",0.96,725.8,201.8,675
32,"XX",0.97,901.66,227.41,850
